"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
400,500,"Local Roots Farm","47.6349728,-122.0819622",47.6349728,-122.0819622,2019-10-01
120,193.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
256,288,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
199,276.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
200,270,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
575,852.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
500,1000,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2019-10-01
95,191.19,"Local Roots Farm","47.6349728,-122.0819622",47.6349728,-122.0819622,2019-11-01
782,1202,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2019-11-01
462,693.9,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
229,253.8,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
575,753.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
297,491.4,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
489,562.05,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
196,268.2,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
110,297,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
358,358,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-11-01
NA,500,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2019-11-01
538,831,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2019-12-01
400,800,"Local Roots Farm","47.6349728,-122.0819622",47.6349728,-122.0819622,2020-08-01
255,382.5,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-09-01
225,817.5,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-09-01
100,385.2,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-09-01
20,100,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-09-01
10,148,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-09-01
40,382.5,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-09-01
120,757.75,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-10-01
80,412.5,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-10-01
467,467,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-10-01
50,239.4,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-10-01
80,532.5,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-10-01
